date,KS,OK,KY,OR,LA,PA,MA,MD,AL,RI,ME,AR,SC,MI,SD,MN,AZ,TN,MO,CA,TX,CO,MS,CT,UT,MT,DC,VA,NC,DE,ND,FL,VT,NE,GA,WA,NH,WI,NJ,HI,WV,NM,IA,WY,NV,ID,NY,IL,OH,IN
2020-09-30,0.0,0.0,0.29,0.0,0.6,0.11,0.21,0.0,0.0,0.0,0.0,0.41,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.22,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.36,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.13,0.0
2020-10-01,0.0,0.0,0.0,0.0,0.61,0.11,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.44,0.0,0.23,0.31,0.0,0.0,0.15,0.22,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.15,0.0,0.0
2020-10-02,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.24,0.0,0.88,0.0,0.0,0.11,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.14,0.0
2020-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.21,0.09,0.27,0.0,0.0,0.37,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.45,0.0,0.53,0.21,0.0,0.0,0.51,0.0,0.0,0.58,0.0,0.35,0.0,0.0,0.0,0.0,0.18,0.0,0.21
2020-10-04,0.0,0.0,0.0,0.88,0.0,0.12,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.28,0.36,0.0,0.42,0.0,0.13,0.0,0.32,0.0,0.29,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.35,0.0,0.0
2020-10-05,0.4,0.0,0.0,0.0,0.0,0.1,0.22,0.0,0.0,0.0,0.0,0.0,0.28,0.22,0.0,0.23,0.0,0.0,0.18,0.24,0.66,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.39,0.25,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.13,0.17
2020-10-06,0.0,0.4,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.35,0.0,0.29,0.0,0.08,0.22,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.0,0.0
2020-10-07,0.0,0.41,0.0,0.0,0.0,0.11,0.21,0.0,0.29,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.29,0.53,0.08,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.13,0.0,0.89,0.0,0.0,0.0,0.44,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.3,0.0,0.0
2020-10-08,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.54,0.16,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.35,0.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.36
2020-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.94,0.0,0.09,0.38,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.23,0.17,0.15,0.2
2020-10-10,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.32,0.0,0.0,0.23,0.21,0.28,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.57,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.39,0.17,0.0
2020-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.34,0.0,0.42,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.39,0.0,0.0,0.0,0.0
2020-10-12,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09,0.13,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.39,0.0,0.0,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.19
2020-10-13,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.26,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.17,0.0,0.0
2020-10-14,0.0,0.47,1.0,0.0,0.34,0.24,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.26,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.18,0.0,0.0,0.43,0.0,0.0,0.0,0.33,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.17,0.15,0.2
2020-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.48,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.35,0.0,0.2,0.09,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.33,0.0,0.26,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0
2020-10-16,0.0,0.0,0.0,0.91,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.49,0.0,0.26,0.0,0.0,0.0,0.33,0.0,0.09,0.13,0.26,0.0,0.0,0.0,0.0,0.0,0.29,0.18,0.92,0.0,0.29,0.0,0.0,0.2,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.21
2020-10-17,0.0,0.54,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.3,0.0,0.35,0.23,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0
2020-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.59,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.16,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.51,0.36,0.96,0.52,0.0,0.0,0.0,0.0,0.22
2020-10-19,0.89,0.46,0.0,0.0,0.0,0.0,0.0,0.94,0.32,0.0,0.0,0.0,0.0,0.0,0.92,0.51,0.35,0.31,0.0,0.27,0.25,0.0,0.0,0.35,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.15,0.19
2020-10-20,0.0,0.0,0.33,0.86,0.0,0.12,0.0,0.48,0.66,0.0,0.0,0.0,0.64,0.0,0.0,0.26,0.0,0.64,0.2,0.0,0.13,0.0,0.0,0.0,0.57,0.0,0.0,0.29,0.18,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-21,0.0,0.47,1.0,0.0,0.0,0.12,0.0,0.47,0.0,0.0,0.0,0.0,0.32,0.5,0.0,0.0,0.0,0.0,0.0,0.18,0.39,0.0,0.0,0.68,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.51,0.4,0.0,0.5,0.52,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.2
2020-10-22,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.65,0.25,0.0,0.0,0.0,0.63,0.21,0.37,0.26,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.67,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
2020-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.36,0.64,0.0,0.0,0.13,0.0,0.32,0.35,0.29,0.0,0.0,0.0,0.0,0.0,0.46,0.29,0.0,0.0,0.2,0.33,0.0,0.0,0.25,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.15,0.0
2020-10-24,0.0,0.0,0.73,0.0,0.0,0.13,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.29,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.21,0.37,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.16,0.0
2020-10-25,0.0,0.0,0.36,0.94,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.27,0.0,0.28,0.0,0.0,0.22,0.1,0.15,0.51,0.0,0.0,0.0,0.0,0.0,0.33,0.2,0.0,0.0,0.15,0.0,0.53,0.0,0.36,0.0,0.26,0.0,0.0,0.0,0.49,0.0,0.0,0.5,0.0,0.0,0.19,0.63,0.21
2020-10-26,0.0,0.0,0.32,0.0,0.0,0.23,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.9,0.26,0.0,0.31,0.39,0.18,0.13,0.24,0.0,0.0,0.0,0.88,0.0,0.29,0.0,0.0,0.0,0.14,0.0,0.0,0.39,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.19
2020-10-27,0.0,0.0,0.33,0.0,0.0,0.22,0.5,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.12,0.25,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.5,0.39,0.0,1.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.19
2020-10-28,0.0,0.49,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.28,0.25,0.0,0.0,0.34,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.15,0.2
2020-10-29,0.0,0.0,0.0,0.89,0.0,0.34,0.25,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.26,0.72,0.61,0.0,0.28,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.34,0.0,0.19
2020-10-30,0.0,0.49,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.27,0.36,0.31,0.0,0.39,0.0,0.0,0.0,0.0,0.29,0.0,0.84,0.0,0.37,0.0,0.45,0.15,0.0,0.0,0.0,0.0,0.0,0.26,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.17,0.15,0.4
2020-10-31,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.59,0.0,0.0,0.0,0.32,0.29,0.56,0.38,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16,0.0,0.58,0.23,0.0,0.0,0.28,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.78,0.17,0.22
2020-11-01,0.0,0.0,0.0,1.0,0.0,0.0,0.29,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.22,0.15,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.53,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0
2020-11-02,0.0,0.0,0.33,0.0,0.0,0.11,0.25,0.0,0.0,0.0,0.0,0.0,0.32,0.25,0.0,0.26,0.35,0.31,1.0,0.28,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.14,0.0,0.0,0.4,0.0,0.0,0.5,0.24,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.22,0.17,0.15,0.39
2020-11-03,0.43,0.43,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.19,0.09,0.48,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.24,0.24,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.21,0.34,0.43,0.0
2020-11-04,0.28,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.16,0.0,0.0,0.12,0.0,0.0,0.0,0.21,0.23,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.3,0.17,0.0,0.0,0.0,0.0,0.53,0.0,0.2,0.0,0.44,0.09,0.0
2020-11-05,0.0,0.0,0.74,0.0,0.0,0.17,0.0,0.36,0.0,0.0,0.0,0.34,0.0,0.19,0.0,0.47,0.0,0.23,0.3,0.06,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.22,0.0,0.37,0.39,0.0,0.39,0.32,0.0,0.0,0.0,0.0,0.31,0.13,0.32,0.0
2020-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.21,0.0,0.26,0.0,0.07,0.1,0.0,0.0,0.0,0.23,0.0,0.7,0.26,0.15,0.0,0.76,0.0,0.0,0.0,0.16,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.14,0.12,0.0
2020-11-07,0.44,0.0,0.32,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,1.0,0.0,0.0,0.38,0.0,0.24,0.23,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.44,0.33,0.0,0.18
2020-11-08,0.46,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.26,0.0,0.81,0.34,0.0,0.62,0.19,0.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.49,0.4,0.0,0.0,0.26,0.26,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.24,0.36,0.45,0.2
2020-11-09,0.43,0.43,0.0,0.0,0.31,0.11,0.24,0.0,0.31,0.0,0.0,0.0,0.0,0.49,0.0,0.72,0.0,0.3,0.0,0.0,0.36,0.47,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.63,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.28,0.19
2020-11-10,0.43,0.43,0.0,0.82,0.32,0.0,0.0,0.0,0.0,0.82,0.0,0.43,0.0,0.0,0.0,0.48,0.0,0.29,0.19,0.27,0.36,0.24,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.39,0.0,0.47,0.18,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.16,0.14,0.18
2020-11-11,0.45,0.0,0.9,0.0,0.0,0.11,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.24,0.0,0.75,0.0,0.29,0.19,0.09,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.33,0.5,0.47,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.22,0.83,0.28,0.55
2020-11-12,0.0,0.0,0.3,0.82,0.0,0.52,0.23,0.43,0.0,0.0,0.84,0.0,0.0,0.24,0.0,0.25,0.33,0.29,0.19,0.18,0.12,0.24,0.0,0.32,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.24,0.22,0.0,0.0,0.0,0.0,0.0,0.46,1.0,0.19,0.33,0.55,0.18
2020-11-13,0.45,0.0,0.32,0.0,0.0,0.22,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.49,0.0,0.51,0.0,0.0,0.4,0.09,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,0.0,0.45,0.14,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.93,0.0,0.0,0.63,0.33,1.0,0.76
